text,label
"Scientists at MIT publish peer-reviewed study on renewable energy efficiency in Nature journal.",real
"Government announces new infrastructure bill passed by parliament after weeks of debate.",real
"Reserve Bank of India holds repo rate steady at 6.5 percent citing inflation outlook.",real
"Indian Space Research Organisation successfully launches communication satellite from Sriharikota.",real
"World Health Organization confirms decline in global malaria cases according to annual report.",real
"भारत सरकार ने नई शिक्षा नीति की घोषणा की, जिसे संसद में पारित किया गया।",real
"भारतीय रिज़र्व बैंक ने रेपो रेट को 6.5 प्रतिशत पर स्थिर रखा।",real
"इसरो ने श्रीहरिकोटा से संचार उपग्रह का सफल प्रक्षेपण किया।",real
"दिल्ली में वायु गुणवत्ता सूचकांक सुधार के संकेत दे रहा है, सरकारी रिपोर्ट के अनुसार।",real
"प्रधानमंत्री ने जी20 शिखर सम्मेलन में भाग लिया और वैश्विक नेताओं से मुलाकात की।",real
"SHOCKING!!! Drinking lemon water at 4am cures all cancers, big pharma hiding the truth!!!",fake
"BREAKING: Aliens spotted landing in Delhi airport, government covers up everything!",fake
"Doctors HATE this one weird trick that melts belly fat overnight without exercise!",fake
"Celebrity dies in tragic accident — click here to see exclusive photos you won't believe!",fake
"Secret cure for diabetes discovered, but pharmaceutical companies are hiding it from you!",fake
"बड़ी खबर: नींबू पानी पीने से कैंसर पूरी तरह ठीक हो जाता है, सरकार छुपा रही है सच!",fake
"चौंकाने वाला खुलासा: एलियन दिल्ली एयरपोर्ट पर उतरे, सरकार ने मामला दबाया!",fake
"डॉक्टर इस एक अजीब उपाय से नफरत करते हैं जो रातोंरात पेट की चर्बी पिघला देता है!",fake
"शेयर करें वरना बुरा होगा! भगवान ने सपने में दिया यह संदेश सबको भेजें।",fake
"मुफ्त में मिलेगा 50000 रुपये! बस इस लिंक पर क्लिक करके फॉर्म भरें!",fake
